#   pt       r            w            wL          Qw            A            b           IP
    54   0.1060E+01   0.3294E+00   0.3606E+00   0.3403E+01   0.4836E+01   0.2535E+01   0.8030E+00
    55   0.1080E+01   0.3131E+00   0.3411E+00   0.3311E+01   0.4894E+01   0.2546E+01   0.8100E+00
    56   0.1100E+01   0.2975E+00   0.3227E+00   0.3220E+01   0.4949E+01   0.2556E+01   0.8166E+00
    57   0.1120E+01   0.2826E+00   0.3053E+00   0.3130E+01   0.5003E+01   0.2566E+01   0.8229E+00
    58   0.1140E+01   0.2685E+00   0.2888E+00   0.3041E+01   0.5056E+01   0.2575E+01   0.8289E+00
    59   0.1160E+01   0.2550E+00   0.2733E+00   0.2954E+01   0.5108E+01   0.2584E+01   0.8346E+00
    60   0.1180E+01   0.2421E+00   0.2585E+00   0.2869E+01   0.5160E+01   0.2593E+01   0.8402E+00
    61   0.1200E+01   0.2299E+00   0.2446E+00   0.2785E+01   0.5212E+01   0.2601E+01   0.8457E+00
    62   0.1220E+01   0.2182E+00   0.2314E+00   0.2703E+01   0.5265E+01   0.2609E+01   0.8511E+00
    63   0.1240E+01   0.2071E+00   0.2189E+00   0.2622E+01   0.5318E+01   0.2617E+01   0.8564E+00
    64   0.1260E+01   0.1965E+00   0.2071E+00   0.2543E+01   0.5371E+01   0.2625E+01   0.8616E+00
    65   0.1280E+01   0.1864E+00   0.1959E+00   0.2465E+01   0.5425E+01   0.2633E+01   0.8668E+00
    66   0.1300E+01   0.1769E+00   0.1854E+00   0.2389E+01   0.5479E+01   0.2641E+01   0.8719E+00
    67   0.1320E+01   0.1677E+00   0.1754E+00   0.2315E+01   0.5535E+01   0.2649E+01   0.8770E+00
    68   0.1340E+01   0.1591E+00   0.1659E+00   0.2242E+01   0.5590E+01   0.2656E+01   0.8820E+00
    69   0.1360E+01   0.1508E+00   0.1570E+00   0.2171E+01   0.5647E+01   0.2664E+01   0.8869E+00
    70   0.1380E+01   0.1430E+00   0.1485E+00   0.2102E+01   0.5704E+01   0.2671E+01   0.8918E+00
    71   0.1400E+01   0.1356E+00   0.1405E+00   0.2034E+01   0.5761E+01   0.2678E+01   0.8966E+00
    72   0.1420E+01   0.1285E+00   0.1329E+00   0.1968E+01   0.5819E+01   0.2685E+01   0.9013E+00
    73   0.1440E+01   0.1217E+00   0.1257E+00   0.1904E+01   0.5876E+01   0.2692E+01   0.9060E+00
    74   0.1460E+01   0.1154E+00   0.1189E+00   0.1841E+01   0.5934E+01   0.2699E+01   0.9105E+00
    75   0.1480E+01   0.1093E+00   0.1125E+00   0.1780E+01   0.5992E+01   0.2706E+01   0.9150E+00
    76   0.1500E+01   0.1035E+00   0.1065E+00   0.1721E+01   0.6049E+01   0.2712E+01   0.9193E+00
    77   0.1520E+01   0.9805E-01   0.1007E+00   0.1663E+01   0.6107E+01   0.2718E+01   0.9236E+00
    78   0.1540E+01   0.9286E-01   0.9529E-01   0.1607E+01   0.6163E+01   0.2724E+01   0.9277E+00
    79   0.1560E+01   0.8793E-01   0.9015E-01   0.1553E+01   0.6220E+01   0.2730E+01   0.9317E+00
    80   0.1580E+01   0.8325E-01   0.8529E-01   0.1500E+01   0.6275E+01   0.2736E+01   0.9355E+00
    81   0.1600E+01   0.7882E-01   0.8069E-01   0.1448E+01   0.6329E+01   0.2741E+01   0.9392E+00
    82   0.1620E+01   0.7461E-01   0.7633E-01   0.1398E+01   0.6382E+01   0.2746E+01   0.9428E+00
    83   0.1640E+01   0.7062E-01   0.7222E-01   0.1350E+01   0.6434E+01   0.2751E+01   0.9462E+00
    84   0.1660E+01   0.6683E-01   0.6832E-01   0.1303E+01   0.6484E+01   0.2756E+01   0.9494E+00
    85   0.1680E+01   0.6325E-01   0.6464E-01   0.1257E+01   0.6532E+01   0.2760E+01   0.9525E+00
    86   0.1700E+01   0.5985E-01   0.6115E-01   0.1213E+01   0.6579E+01   0.2765E+01   0.9554E+00
    87   0.1720E+01   0.5662E-01   0.5785E-01   0.1170E+01   0.6623E+01   0.2768E+01   0.9581E+00
    88   0.1740E+01   0.5357E-01   0.5473E-01   0.1129E+01   0.6664E+01   0.2772E+01   0.9606E+00
    89   0.1760E+01   0.5068E-01   0.5178E-01   0.1089E+01   0.6703E+01   0.2775E+01   0.9629E+00
    90   0.1780E+01   0.4794E-01   0.4899E-01   0.1050E+01   0.6739E+01   0.2778E+01   0.9650E+00
    91   0.1800E+01   0.4535E-01   0.4634E-01   0.1012E+01   0.6771E+01   0.2781E+01   0.9668E+00
    92   0.1820E+01   0.4290E-01   0.4384E-01   0.9760E+00   0.6800E+01   0.2783E+01   0.9685E+00
    93   0.1840E+01   0.4057E-01   0.4148E-01   0.9409E+00   0.6825E+01   0.2785E+01   0.9699E+00
    94   0.1860E+01   0.3837E-01   0.3924E-01   0.9070E+00   0.6846E+01   0.2787E+01   0.9710E+00
    95   0.1880E+01   0.3629E-01   0.3712E-01   0.8742E+00   0.6864E+01   0.2789E+01   0.9720E+00
    96   0.1900E+01   0.3432E-01   0.3512E-01   0.8425E+00   0.6876E+01   0.2789E+01   0.9726E+00
    97   0.1920E+01   0.3246E-01   0.3323E-01   0.8119E+00   0.6884E+01   0.2790E+01   0.9731E+00
    98   0.1940E+01   0.3070E-01   0.3144E-01   0.7823E+00   0.6888E+01   0.2790E+01   0.9732E+00
    99   0.1960E+01   0.2903E-01   0.2974E-01   0.7538E+00   0.6886E+01   0.2790E+01   0.9732E+00
   100   0.1980E+01   0.2746E-01   0.2814E-01   0.7262E+00   0.6879E+01   0.2790E+01   0.9728E+00
   101   0.2000E+01   0.2597E-01   0.2662E-01   0.6997E+00   0.6867E+01   0.2789E+01   0.9722E+00
   102   0.2020E+01   0.2456E-01   0.2518E-01   0.6740E+00   0.6850E+01   0.2788E+01   0.9714E+00
   103   0.2040E+01   0.2323E-01   0.2382E-01   0.6493E+00   0.6828E+01   0.2786E+01   0.9702E+00
   104   0.2060E+01   0.2197E-01   0.2254E-01   0.6254E+00   0.6801E+01   0.2784E+01   0.9689E+00
   105   0.2080E+01   0.2078E-01   0.2132E-01   0.6024E+00   0.6768E+01   0.2782E+01   0.9673E+00
   106   0.2100E+01   0.1966E-01   0.2017E-01   0.5802E+00   0.6730E+01   0.2779E+01   0.9654E+00
   107   0.2120E+01   0.1859E-01   0.1909E-01   0.5588E+00   0.6688E+01   0.2776E+01   0.9633E+00
   108   0.2140E+01   0.1759E-01   0.1806E-01   0.5382E+00   0.6640E+01   0.2773E+01   0.9610E+00
   109   0.2160E+01   0.1664E-01   0.1708E-01   0.5183E+00   0.6588E+01   0.2769E+01   0.9584E+00
   110   0.2180E+01   0.1575E-01   0.1616E-01   0.4992E+00   0.6532E+01   0.2765E+01   0.9557E+00
   111   0.2200E+01   0.1490E-01   0.1529E-01   0.4807E+00   0.6471E+01   0.2761E+01   0.9528E+00
   112   0.2220E+01   0.1410E-01   0.1446E-01   0.4629E+00   0.6406E+01   0.2756E+01   0.9496E+00
   113   0.2240E+01   0.1334E-01   0.1368E-01   0.4458E+00   0.6338E+01   0.2751E+01   0.9463E+00
   114   0.2260E+01   0.1263E-01   0.1295E-01   0.4293E+00   0.6267E+01   0.2746E+01   0.9429E+00
   115   0.2280E+01   0.1196E-01   0.1225E-01   0.4134E+00   0.6192E+01   0.2741E+01   0.9393E+00
   116   0.2300E+01   0.1132E-01   0.1159E-01   0.3980E+00   0.6115E+01   0.2736E+01   0.9355E+00
   117   0.2320E+01   0.1072E-01   0.1096E-01   0.3833E+00   0.6036E+01   0.2730E+01   0.9317E+00
   118   0.2340E+01   0.1015E-01   0.1037E-01   0.3690E+00   0.5955E+01   0.2724E+01   0.9277E+00
   119   0.2360E+01   0.9610E-02   0.9811E-02   0.3553E+00   0.5873E+01   0.2718E+01   0.9237E+00
   120   0.2380E+01   0.9102E-02   0.9282E-02   0.3421E+00   0.5789E+01   0.2712E+01   0.9196E+00
   121   0.2400E+01   0.8622E-02   0.8781E-02   0.3294E+00   0.5704E+01   0.2706E+01   0.9154E+00
   122   0.2420E+01   0.8168E-02   0.8308E-02   0.3171E+00   0.5619E+01   0.2700E+01   0.9112E+00
   123   0.2440E+01   0.7739E-02   0.7860E-02   0.3053E+00   0.5534E+01   0.2694E+01   0.9069E+00
   124   0.2460E+01   0.7334E-02   0.7436E-02   0.2940E+00   0.5449E+01   0.2687E+01   0.9027E+00
