#   pt       r            w            wL          Qw            A            b           IP
    54   0.1060E+01   0.1542E+00   0.2004E+00   0.2164E+01   0.9497E+00   0.1715E+01   0.3676E+00
    55   0.1080E+01   0.1490E+00   0.1908E+00   0.2120E+01   0.9900E+00   0.1754E+01   0.3845E+00
    56   0.1100E+01   0.1438E+00   0.1815E+00   0.2076E+01   0.1032E+01   0.1792E+01   0.4012E+00
    57   0.1120E+01   0.1387E+00   0.1728E+00   0.2033E+01   0.1074E+01   0.1828E+01   0.4178E+00
    58   0.1140E+01   0.1336E+00   0.1644E+00   0.1989E+01   0.1118E+01   0.1863E+01   0.4341E+00
    59   0.1160E+01   0.1287E+00   0.1565E+00   0.1945E+01   0.1163E+01   0.1897E+01   0.4501E+00
    60   0.1180E+01   0.1239E+00   0.1489E+00   0.1902E+01   0.1208E+01   0.1930E+01   0.4657E+00
    61   0.1200E+01   0.1191E+00   0.1418E+00   0.1859E+01   0.1254E+01   0.1961E+01   0.4809E+00
    62   0.1220E+01   0.1145E+00   0.1349E+00   0.1816E+01   0.1300E+01   0.1991E+01   0.4957E+00
    63   0.1240E+01   0.1100E+00   0.1284E+00   0.1773E+01   0.1347E+01   0.2020E+01   0.5101E+00
    64   0.1260E+01   0.1056E+00   0.1222E+00   0.1731E+01   0.1394E+01   0.2047E+01   0.5240E+00
    65   0.1280E+01   0.1014E+00   0.1163E+00   0.1689E+01   0.1441E+01   0.2074E+01   0.5375E+00
    66   0.1300E+01   0.9723E-01   0.1107E+00   0.1647E+01   0.1488E+01   0.2099E+01   0.5505E+00
    67   0.1320E+01   0.9321E-01   0.1053E+00   0.1606E+01   0.1535E+01   0.2122E+01   0.5631E+00
    68   0.1340E+01   0.8931E-01   0.1003E+00   0.1566E+01   0.1582E+01   0.2145E+01   0.5752E+00
    69   0.1360E+01   0.8554E-01   0.9542E-01   0.1526E+01   0.1629E+01   0.2167E+01   0.5869E+00
    70   0.1380E+01   0.8190E-01   0.9082E-01   0.1486E+01   0.1676E+01   0.2188E+01   0.5982E+00
    71   0.1400E+01   0.7838E-01   0.8643E-01   0.1447E+01   0.1723E+01   0.2207E+01   0.6091E+00
    72   0.1420E+01   0.7498E-01   0.8226E-01   0.1409E+01   0.1770E+01   0.2226E+01   0.6196E+00
    73   0.1440E+01   0.7170E-01   0.7829E-01   0.1371E+01   0.1816E+01   0.2244E+01   0.6297E+00
    74   0.1460E+01   0.6854E-01   0.7451E-01   0.1334E+01   0.1862E+01   0.2262E+01   0.6393E+00
    75   0.1480E+01   0.6550E-01   0.7091E-01   0.1298E+01   0.1907E+01   0.2278E+01   0.6486E+00
    76   0.1500E+01   0.6257E-01   0.6749E-01   0.1262E+01   0.1952E+01   0.2294E+01   0.6576E+00
    77   0.1520E+01   0.5976E-01   0.6423E-01   0.1227E+01   0.1996E+01   0.2308E+01   0.6661E+00
    78   0.1540E+01   0.5705E-01   0.6113E-01   0.1193E+01   0.2040E+01   0.2323E+01   0.6743E+00
    79   0.1560E+01   0.5446E-01   0.5818E-01   0.1159E+01   0.2083E+01   0.2336E+01   0.6821E+00
    80   0.1580E+01   0.5196E-01   0.5537E-01   0.1126E+01   0.2125E+01   0.2349E+01   0.6895E+00
    81   0.1600E+01   0.4957E-01   0.5270E-01   0.1094E+01   0.2166E+01   0.2361E+01   0.6966E+00
    82   0.1620E+01   0.4728E-01   0.5016E-01   0.1062E+01   0.2205E+01   0.2372E+01   0.7032E+00
    83   0.1640E+01   0.4509E-01   0.4773E-01   0.1031E+01   0.2244E+01   0.2383E+01   0.7096E+00
    84   0.1660E+01   0.4298E-01   0.4543E-01   0.1001E+01   0.2281E+01   0.2393E+01   0.7155E+00
    85   0.1680E+01   0.4097E-01   0.4324E-01   0.9719E+00   0.2317E+01   0.2402E+01   0.7211E+00
    86   0.1700E+01   0.3905E-01   0.4115E-01   0.9432E+00   0.2351E+01   0.2411E+01   0.7263E+00
    87   0.1720E+01   0.3721E-01   0.3916E-01   0.9152E+00   0.2384E+01   0.2419E+01   0.7312E+00
    88   0.1740E+01   0.3545E-01   0.3727E-01   0.8879E+00   0.2415E+01   0.2426E+01   0.7357E+00
    89   0.1760E+01   0.3376E-01   0.3547E-01   0.8613E+00   0.2444E+01   0.2433E+01   0.7398E+00
    90   0.1780E+01   0.3216E-01   0.3376E-01   0.8353E+00   0.2471E+01   0.2439E+01   0.7436E+00
    91   0.1800E+01   0.3063E-01   0.3213E-01   0.8101E+00   0.2495E+01   0.2445E+01   0.7470E+00
    92   0.1820E+01   0.2916E-01   0.3058E-01   0.7855E+00   0.2518E+01   0.2450E+01   0.7501E+00
    93   0.1840E+01   0.2777E-01   0.2910E-01   0.7615E+00   0.2539E+01   0.2454E+01   0.7528E+00
    94   0.1860E+01   0.2644E-01   0.2770E-01   0.7382E+00   0.2557E+01   0.2458E+01   0.7552E+00
    95   0.1880E+01   0.2517E-01   0.2636E-01   0.7155E+00   0.2573E+01   0.2461E+01   0.7572E+00
    96   0.1900E+01   0.2396E-01   0.2509E-01   0.6935E+00   0.2586E+01   0.2464E+01   0.7589E+00
    97   0.1920E+01   0.2281E-01   0.2388E-01   0.6720E+00   0.2597E+01   0.2466E+01   0.7603E+00
    98   0.1940E+01   0.2171E-01   0.2273E-01   0.6512E+00   0.2606E+01   0.2468E+01   0.7613E+00
    99   0.1960E+01   0.2066E-01   0.2163E-01   0.6310E+00   0.2612E+01   0.2469E+01   0.7621E+00
   100   0.1980E+01   0.1967E-01   0.2058E-01   0.6113E+00   0.2615E+01   0.2470E+01   0.7625E+00
   101   0.2000E+01   0.1872E-01   0.1959E-01   0.5922E+00   0.2617E+01   0.2470E+01   0.7626E+00
   102   0.2020E+01   0.1782E-01   0.1865E-01   0.5737E+00   0.2615E+01   0.2470E+01   0.7625E+00
   103   0.2040E+01   0.1696E-01   0.1775E-01   0.5557E+00   0.2612E+01   0.2469E+01   0.7621E+00
   104   0.2060E+01   0.1614E-01   0.1689E-01   0.5382E+00   0.2606E+01   0.2468E+01   0.7615E+00
   105   0.2080E+01   0.1536E-01   0.1607E-01   0.5212E+00   0.2599E+01   0.2467E+01   0.7606E+00
   106   0.2100E+01   0.1462E-01   0.1530E-01   0.5048E+00   0.2589E+01   0.2465E+01   0.7595E+00
   107   0.2120E+01   0.1392E-01   0.1456E-01   0.4888E+00   0.2577E+01   0.2463E+01   0.7582E+00
   108   0.2140E+01   0.1325E-01   0.1386E-01   0.4733E+00   0.2564E+01   0.2460E+01   0.7566E+00
   109   0.2160E+01   0.1262E-01   0.1319E-01   0.4583E+00   0.2548E+01   0.2458E+01   0.7549E+00
   110   0.2180E+01   0.1201E-01   0.1255E-01   0.4437E+00   0.2532E+01   0.2454E+01   0.7531E+00
   111   0.2200E+01   0.1144E-01   0.1195E-01   0.4296E+00   0.2513E+01   0.2451E+01   0.7510E+00
   112   0.2220E+01   0.1089E-01   0.1137E-01   0.4159E+00   0.2494E+01   0.2448E+01   0.7489E+00
   113   0.2240E+01   0.1037E-01   0.1082E-01   0.4026E+00   0.2473E+01   0.2444E+01   0.7466E+00
   114   0.2260E+01   0.9876E-02   0.1030E-01   0.3898E+00   0.2451E+01   0.2440E+01   0.7442E+00
   115   0.2280E+01   0.9406E-02   0.9800E-02   0.3773E+00   0.2429E+01   0.2436E+01   0.7417E+00
   116   0.2300E+01   0.8959E-02   0.9327E-02   0.3652E+00   0.2405E+01   0.2432E+01   0.7391E+00
   117   0.2320E+01   0.8534E-02   0.8877E-02   0.3534E+00   0.2381E+01   0.2427E+01   0.7365E+00
   118   0.2340E+01   0.8130E-02   0.8448E-02   0.3421E+00   0.2357E+01   0.2423E+01   0.7338E+00
   119   0.2360E+01   0.7746E-02   0.8041E-02   0.3311E+00   0.2332E+01   0.2418E+01   0.7311E+00
   120   0.2380E+01   0.7380E-02   0.7653E-02   0.3204E+00   0.2307E+01   0.2414E+01   0.7283E+00
   121   0.2400E+01   0.7033E-02   0.7283E-02   0.3100E+00   0.2282E+01   0.2409E+01   0.7255E+00
   122   0.2420E+01   0.6702E-02   0.6932E-02   0.3000E+00   0.2256E+01   0.2405E+01   0.7228E+00
   123   0.2440E+01   0.6388E-02   0.6597E-02   0.2903E+00   0.2231E+01   0.2400E+01   0.7200E+00
   124   0.2460E+01   0.6089E-02   0.6278E-02   0.2809E+00   0.2206E+01   0.2395E+01   0.7172E+00
   125   0.2480E+01   0.5804E-02   0.5975E-02   0.2718E+00   0.2181E+01   0.2391E+01   0.7145E+00
   126   0.2500E+01   0.5533E-02   0.5687E-02   0.2630E+00   0.2157E+01   0.2386E+01   0.7117E+00
   127   0.2520E+01   0.5276E-02   0.5412E-02   0.2544E+00   0.2132E+01   0.2382E+01   0.7091E+00
   128   0.2540E+01   0.5031E-02   0.5151E-02   0.2461E+00   0.2109E+01   0.2377E+01   0.7064E+00
   129   0.2560E+01   0.4797E-02   0.4903E-02   0.2381E+00   0.2085E+01   0.2373E+01   0.7038E+00
   130   0.2580E+01   0.4575E-02   0.4666E-02   0.2303E+00   0.2062E+01   0.2369E+01   0.7013E+00
   131   0.2600E+01   0.4364E-02   0.4441E-02   0.2228E+00   0.2040E+01   0.2364E+01   0.6988E+00
   132   0.2620E+01   0.4162E-02   0.4226E-02   0.2155E+00   0.2018E+01   0.2360E+01   0.6964E+00
   133   0.2640E+01   0.3970E-02   0.4022E-02   0.2084E+00   0.1997E+01   0.2356E+01   0.6940E+00
   134   0.2660E+01   0.3788E-02   0.3828E-02   0.2016E+00   0.1977E+01   0.2352E+01   0.6917E+00
   135   0.2680E+01   0.3614E-02   0.3643E-02   0.1949E+00   0.1957E+01   0.2349E+01   0.6895E+00
   136   0.2700E+01   0.3448E-02   0.3467E-02   0.1885E+00   0.1938E+01   0.2345E+01   0.6873E+00
   137   0.2720E+01   0.3290E-02   0.3300E-02   0.1823E+00   0.1919E+01   0.2341E+01   0.6853E+00
   138   0.2740E+01   0.3140E-02   0.3141E-02   0.1763E+00   0.1901E+01   0.2338E+01   0.6832E+00
   139   0.2760E+01   0.2997E-02   0.2989E-02   0.1705E+00   0.1883E+01   0.2335E+01   0.6813E+00
   140   0.2780E+01   0.2860E-02   0.2845E-02   0.1648E+00   0.1867E+01   0.2331E+01   0.6794E+00
   141   0.2800E+01   0.2730E-02   0.2708E-02   0.1593E+00   0.1850E+01   0.2328E+01   0.6776E+00
   142   0.2820E+01   0.2606E-02   0.2577E-02   0.1541E+00   0.1835E+01   0.2325E+01   0.6758E+00
   143   0.2840E+01   0.2487E-02   0.2452E-02   0.1489E+00   0.1820E+01   0.2322E+01   0.6741E+00
   144   0.2860E+01   0.2374E-02   0.2334E-02   0.1440E+00   0.1805E+01   0.2319E+01   0.6725E+00
   145   0.2880E+01   0.2267E-02   0.2221E-02   0.1392E+00   0.1791E+01   0.2317E+01   0.6709E+00
   146   0.2900E+01   0.2164E-02   0.2114E-02   0.1345E+00   0.1778E+01   0.2314E+01   0.6694E+00
   147   0.2920E+01   0.2066E-02   0.2012E-02   0.1300E+00   0.1765E+01   0.2312E+01   0.6679E+00
   148   0.2940E+01   0.1973E-02   0.1915E-02   0.1257E+00   0.1752E+01   0.2309E+01   0.6665E+00
   149   0.2960E+01   0.1884E-02   0.1823E-02   0.1214E+00   0.1740E+01   0.2307E+01   0.6651E+00
   150   0.2980E+01   0.1799E-02   0.1735E-02   0.1174E+00   0.1728E+01   0.2304E+01   0.6638E+00
   151   0.3000E+01   0.1718E-02   0.1651E-02   0.1134E+00   0.1717E+01   0.2302E+01   0.6625E+00
   152   0.3020E+01   0.1641E-02   0.1571E-02   0.1096E+00   0.1705E+01   0.2300E+01   0.6613E+00
   153   0.3040E+01   0.1567E-02   0.1495E-02   0.1059E+00   0.1695E+01   0.2298E+01   0.6601E+00
   154   0.3060E+01   0.1497E-02   0.1423E-02   0.1023E+00   0.1684E+01   0.2296E+01   0.6589E+00
   155   0.3080E+01   0.1430E-02   0.1354E-02   0.9883E-01   0.1674E+01   0.2294E+01   0.6578E+00
   156   0.3100E+01   0.1366E-02   0.1289E-02   0.9548E-01   0.1664E+01   0.2292E+01   0.6567E+00
   157   0.3120E+01   0.1304E-02   0.1227E-02   0.9224E-01   0.1655E+01   0.2290E+01   0.6556E+00
   158   0.3140E+01   0.1246E-02   0.1168E-02   0.8910E-01   0.1645E+01   0.2288E+01   0.6546E+00
   159   0.3160E+01   0.1190E-02   0.1111E-02   0.8606E-01   0.1636E+01   0.2287E+01   0.6536E+00
   160   0.3180E+01   0.1137E-02   0.1058E-02   0.8312E-01   0.1627E+01   0.2285E+01   0.6526E+00
   161   0.3200E+01   0.1086E-02   0.1007E-02   0.8028E-01   0.1618E+01   0.2283E+01   0.6516E+00
   162   0.3220E+01   0.1038E-02   0.9579E-03   0.7753E-01   0.1609E+01   0.2282E+01   0.6507E+00
   163   0.3240E+01   0.9916E-03   0.9117E-03   0.7487E-01   0.1601E+01   0.2280E+01   0.6497E+00
   164   0.3260E+01   0.9474E-03   0.8677E-03   0.7229E-01   0.1593E+01   0.2278E+01   0.6488E+00
   165   0.3280E+01   0.9052E-03   0.8258E-03   0.6981E-01   0.1585E+01   0.2277E+01   0.6479E+00
   166   0.3300E+01   0.8650E-03   0.7859E-03   0.6740E-01   0.1577E+01   0.2275E+01   0.6470E+00
   167   0.3320E+01   0.8265E-03   0.7480E-03   0.6507E-01   0.1569E+01   0.2274E+01   0.6462E+00
   168   0.3340E+01   0.7898E-03   0.7119E-03   0.6282E-01   0.1561E+01   0.2272E+01   0.6454E+00
   169   0.3360E+01   0.7547E-03   0.6775E-03   0.6064E-01   0.1554E+01   0.2271E+01   0.6445E+00
   170   0.3380E+01   0.7212E-03   0.6448E-03   0.5853E-01   0.1546E+01   0.2269E+01   0.6437E+00
   171   0.3400E+01   0.6892E-03   0.6137E-03   0.5650E-01   0.1539E+01   0.2268E+01   0.6430E+00
   172   0.3420E+01   0.6586E-03   0.5841E-03   0.5453E-01   0.1532E+01   0.2267E+01   0.6422E+00
   173   0.3440E+01   0.6295E-03   0.5559E-03   0.5263E-01   0.1525E+01   0.2265E+01   0.6415E+00
   174   0.3460E+01   0.6016E-03   0.5290E-03   0.5078E-01   0.1519E+01   0.2264E+01   0.6408E+00
   175   0.3480E+01   0.5750E-03   0.5035E-03   0.4900E-01   0.1512E+01   0.2263E+01   0.6401E+00
   176   0.3500E+01   0.5495E-03   0.4792E-03   0.4728E-01   0.1506E+01   0.2262E+01   0.6394E+00
   177   0.3520E+01   0.5252E-03   0.4561E-03   0.4562E-01   0.1500E+01   0.2261E+01   0.6388E+00
   178   0.3540E+01   0.5020E-03   0.4341E-03   0.4401E-01   0.1495E+01   0.2260E+01   0.6382E+00
   179   0.3560E+01   0.4798E-03   0.4131E-03   0.4246E-01   0.1490E+01   0.2259E+01   0.6376E+00
   180   0.3580E+01   0.4587E-03   0.3932E-03   0.4095E-01   0.1485E+01   0.2258E+01   0.6371E+00
   181   0.3600E+01   0.4384E-03   0.3742E-03   0.3950E-01   0.1480E+01   0.2257E+01   0.6366E+00
   182   0.3620E+01   0.4191E-03   0.3561E-03   0.3810E-01   0.1476E+01   0.2256E+01   0.6362E+00
   183   0.3640E+01   0.4006E-03   0.3389E-03   0.3674E-01   0.1472E+01   0.2255E+01   0.6358E+00
   184   0.3660E+01   0.3829E-03   0.3226E-03   0.3543E-01   0.1468E+01   0.2255E+01   0.6354E+00
   185   0.3680E+01   0.3660E-03   0.3070E-03   0.3416E-01   0.1465E+01   0.2254E+01   0.6351E+00
   186   0.3700E+01   0.3499E-03   0.2922E-03   0.3294E-01   0.1462E+01   0.2254E+01   0.6348E+00
   187   0.3720E+01   0.3345E-03   0.2781E-03   0.3175E-01   0.1460E+01   0.2253E+01   0.6346E+00
   188   0.3740E+01   0.3197E-03   0.2647E-03   0.3061E-01   0.1459E+01   0.2253E+01   0.6344E+00
   189   0.3760E+01   0.3057E-03   0.2519E-03   0.2951E-01   0.1457E+01   0.2253E+01   0.6343E+00
   190   0.3780E+01   0.2922E-03   0.2397E-03   0.2844E-01   0.1457E+01   0.2252E+01   0.6342E+00
   191   0.3800E+01   0.2793E-03   0.2281E-03   0.2741E-01   0.1457E+01   0.2252E+01   0.6342E+00
   192   0.3820E+01   0.2670E-03   0.2171E-03   0.2641E-01   0.1457E+01   0.2253E+01   0.6342E+00
   193   0.3840E+01   0.2553E-03   0.2067E-03   0.2545E-01   0.1458E+01   0.2253E+01   0.6344E+00
   194   0.3860E+01   0.2440E-03   0.1967E-03   0.2452E-01   0.1460E+01   0.2253E+01   0.6345E+00
   195   0.3880E+01   0.2333E-03   0.1872E-03   0.2362E-01   0.1463E+01   0.2254E+01   0.6348E+00
   196   0.3900E+01   0.2230E-03   0.1781E-03   0.2275E-01   0.1466E+01   0.2254E+01   0.6351E+00
   197   0.3920E+01   0.2131E-03   0.1695E-03   0.2191E-01   0.1470E+01   0.2255E+01   0.6355E+00
   198   0.3940E+01   0.2037E-03   0.1614E-03   0.2111E-01   0.1475E+01   0.2256E+01   0.6360E+00
   199   0.3960E+01   0.1948E-03   0.1536E-03   0.2032E-01   0.1480E+01   0.2257E+01   0.6365E+00
   200   0.3980E+01   0.1862E-03   0.1462E-03   0.1957E-01   0.1486E+01   0.2258E+01   0.6371E+00
   201   0.4000E+01   0.1779E-03   0.1391E-03   0.1884E-01   0.1494E+01   0.2259E+01   0.6378E+00
   202   0.4020E+01   0.1701E-03   0.1324E-03   0.1814E-01   0.1502E+01   0.2260E+01   0.6385E+00
   203   0.4040E+01   0.1626E-03   0.1260E-03   0.1746E-01   0.1511E+01   0.2262E+01   0.6394E+00
   204   0.4060E+01   0.1554E-03   0.1199E-03   0.1680E-01   0.1520E+01   0.2263E+01   0.6403E+00
   205   0.4080E+01   0.1485E-03   0.1141E-03   0.1617E-01   0.1531E+01   0.2265E+01   0.6413E+00
   206   0.4100E+01   0.1419E-03   0.1086E-03   0.1556E-01   0.1543E+01   0.2267E+01   0.6423E+00
   207   0.4120E+01   0.1356E-03   0.1034E-03   0.1497E-01   0.1556E+01   0.2269E+01   0.6435E+00
   208   0.4140E+01   0.1296E-03   0.9839E-04   0.1440E-01   0.1570E+01   0.2271E+01   0.6447E+00
   209   0.4160E+01   0.1238E-03   0.9364E-04   0.1386E-01   0.1585E+01   0.2273E+01   0.6460E+00
   210   0.4180E+01   0.1183E-03   0.8912E-04   0.1333E-01   0.1602E+01   0.2276E+01   0.6474E+00
   211   0.4200E+01   0.1131E-03   0.8481E-04   0.1282E-01   0.1619E+01   0.2278E+01   0.6489E+00
   212   0.4220E+01   0.1080E-03   0.8072E-04   0.1232E-01   0.1638E+01   0.2281E+01   0.6505E+00
   213   0.4240E+01   0.1032E-03   0.7682E-04   0.1185E-01   0.1658E+01   0.2284E+01   0.6521E+00
   214   0.4260E+01   0.9859E-04   0.7312E-04   0.1139E-01   0.1680E+01   0.2287E+01   0.6539E+00
   215   0.4280E+01   0.9418E-04   0.6959E-04   0.1095E-01   0.1702E+01   0.2290E+01   0.6557E+00
   216   0.4300E+01   0.8996E-04   0.6623E-04   0.1052E-01   0.1727E+01   0.2294E+01   0.6575E+00
   217   0.4320E+01   0.8593E-04   0.6303E-04   0.1011E-01   0.1752E+01   0.2297E+01   0.6595E+00
   218   0.4340E+01   0.8206E-04   0.5999E-04   0.9718E-02   0.1780E+01   0.2301E+01   0.6616E+00
   219   0.4360E+01   0.7837E-04   0.5709E-04   0.9337E-02   0.1808E+01   0.2304E+01   0.6637E+00
   220   0.4380E+01   0.7484E-04   0.5434E-04   0.8969E-02   0.1839E+01   0.2308E+01   0.6659E+00
   221   0.4400E+01   0.7146E-04   0.5171E-04   0.8615E-02   0.1871E+01   0.2312E+01   0.6682E+00
   222   0.4420E+01   0.6823E-04   0.4922E-04   0.8274E-02   0.1905E+01   0.2316E+01   0.6705E+00
   223   0.4440E+01   0.6514E-04   0.4684E-04   0.7945E-02   0.1941E+01   0.2320E+01   0.6730E+00
   224   0.4460E+01   0.6218E-04   0.4458E-04   0.7628E-02   0.1978E+01   0.2325E+01   0.6755E+00
   225   0.4480E+01   0.5935E-04   0.4243E-04   0.7323E-02   0.2018E+01   0.2329E+01   0.6781E+00
   226   0.4500E+01   0.5665E-04   0.4038E-04   0.7029E-02   0.2060E+01   0.2334E+01   0.6807E+00
   227   0.4520E+01   0.5406E-04   0.3843E-04   0.6746E-02   0.2104E+01   0.2338E+01   0.6834E+00
   228   0.4540E+01   0.5159E-04   0.3658E-04   0.6474E-02   0.2150E+01   0.2343E+01   0.6862E+00
   229   0.4560E+01   0.4923E-04   0.3481E-04   0.6211E-02   0.2198E+01   0.2348E+01   0.6891E+00
   230   0.4580E+01   0.4697E-04   0.3313E-04   0.5959E-02   0.2249E+01   0.2353E+01   0.6920E+00
   231   0.4600E+01   0.4481E-04   0.3153E-04   0.5716E-02   0.2302E+01   0.2358E+01   0.6950E+00
   232   0.4620E+01   0.4274E-04   0.3001E-04   0.5482E-02   0.2357E+01   0.2363E+01   0.6981E+00
   233   0.4640E+01   0.4076E-04   0.2856E-04   0.5257E-02   0.2416E+01   0.2368E+01   0.7012E+00
   234   0.4660E+01   0.3888E-04   0.2718E-04   0.5041E-02   0.2477E+01   0.2374E+01   0.7044E+00
   235   0.4680E+01   0.3707E-04   0.2587E-04   0.4833E-02   0.2541E+01   0.2379E+01   0.7076E+00
   236   0.4700E+01   0.3535E-04   0.2462E-04   0.4633E-02   0.2607E+01   0.2385E+01   0.7109E+00
