#   pt       r            w            wL          Qw            A            b           IP
    54   0.1060E+01   0.1540E+00   0.1991E+00   0.2169E+01   0.9216E+00   0.1688E+01   0.3561E+00
    55   0.1080E+01   0.1488E+00   0.1895E+00   0.2126E+01   0.9593E+00   0.1725E+01   0.3721E+00
    56   0.1100E+01   0.1437E+00   0.1804E+00   0.2082E+01   0.9985E+00   0.1762E+01   0.3881E+00
    57   0.1120E+01   0.1387E+00   0.1717E+00   0.2038E+01   0.1039E+01   0.1798E+01   0.4041E+00
    58   0.1140E+01   0.1338E+00   0.1634E+00   0.1995E+01   0.1081E+01   0.1833E+01   0.4199E+00
    59   0.1160E+01   0.1289E+00   0.1555E+00   0.1951E+01   0.1124E+01   0.1867E+01   0.4356E+00
    60   0.1180E+01   0.1241E+00   0.1480E+00   0.1907E+01   0.1168E+01   0.1900E+01   0.4510E+00
    61   0.1200E+01   0.1195E+00   0.1408E+00   0.1864E+01   0.1213E+01   0.1931E+01   0.4662E+00
    62   0.1220E+01   0.1149E+00   0.1340E+00   0.1821E+01   0.1258E+01   0.1962E+01   0.4811E+00
    63   0.1240E+01   0.1105E+00   0.1276E+00   0.1778E+01   0.1305E+01   0.1991E+01   0.4957E+00
    64   0.1260E+01   0.1061E+00   0.1214E+00   0.1736E+01   0.1352E+01   0.2020E+01   0.5099E+00
    65   0.1280E+01   0.1019E+00   0.1156E+00   0.1693E+01   0.1400E+01   0.2047E+01   0.5238E+00
    66   0.1300E+01   0.9777E-01   0.1100E+00   0.1652E+01   0.1448E+01   0.2073E+01   0.5373E+00
    67   0.1320E+01   0.9378E-01   0.1047E+00   0.1610E+01   0.1497E+01   0.2099E+01   0.5505E+00
    68   0.1340E+01   0.8990E-01   0.9962E-01   0.1570E+01   0.1546E+01   0.2123E+01   0.5634E+00
    69   0.1360E+01   0.8614E-01   0.9481E-01   0.1529E+01   0.1596E+01   0.2146E+01   0.5758E+00
    70   0.1380E+01   0.8250E-01   0.9023E-01   0.1489E+01   0.1645E+01   0.2169E+01   0.5880E+00
    71   0.1400E+01   0.7898E-01   0.8588E-01   0.1450E+01   0.1696E+01   0.2190E+01   0.5997E+00
    72   0.1420E+01   0.7558E-01   0.8173E-01   0.1412E+01   0.1746E+01   0.2211E+01   0.6111E+00
    73   0.1440E+01   0.7230E-01   0.7779E-01   0.1374E+01   0.1796E+01   0.2231E+01   0.6221E+00
    74   0.1460E+01   0.6913E-01   0.7403E-01   0.1336E+01   0.1846E+01   0.2250E+01   0.6328E+00
    75   0.1480E+01   0.6608E-01   0.7046E-01   0.1300E+01   0.1897E+01   0.2268E+01   0.6431E+00
    76   0.1500E+01   0.6313E-01   0.6706E-01   0.1264E+01   0.1947E+01   0.2286E+01   0.6530E+00
    77   0.1520E+01   0.6030E-01   0.6382E-01   0.1228E+01   0.1996E+01   0.2302E+01   0.6626E+00
    78   0.1540E+01   0.5758E-01   0.6074E-01   0.1194E+01   0.2045E+01   0.2318E+01   0.6718E+00
    79   0.1560E+01   0.5496E-01   0.5781E-01   0.1160E+01   0.2094E+01   0.2333E+01   0.6806E+00
    80   0.1580E+01   0.5245E-01   0.5502E-01   0.1126E+01   0.2142E+01   0.2348E+01   0.6890E+00
    81   0.1600E+01   0.5004E-01   0.5236E-01   0.1094E+01   0.2189E+01   0.2361E+01   0.6971E+00
    82   0.1620E+01   0.4772E-01   0.4983E-01   0.1062E+01   0.2235E+01   0.2374E+01   0.7047E+00
    83   0.1640E+01   0.4550E-01   0.4743E-01   0.1031E+01   0.2280E+01   0.2387E+01   0.7120E+00
    84   0.1660E+01   0.4338E-01   0.4514E-01   0.1000E+01   0.2323E+01   0.2398E+01   0.7189E+00
    85   0.1680E+01   0.4134E-01   0.4296E-01   0.9707E+00   0.2366E+01   0.2409E+01   0.7253E+00
    86   0.1700E+01   0.3939E-01   0.4089E-01   0.9417E+00   0.2406E+01   0.2419E+01   0.7314E+00
    87   0.1720E+01   0.3753E-01   0.3891E-01   0.9135E+00   0.2445E+01   0.2428E+01   0.7371E+00
    88   0.1740E+01   0.3575E-01   0.3703E-01   0.8859E+00   0.2482E+01   0.2437E+01   0.7424E+00
    89   0.1760E+01   0.3404E-01   0.3525E-01   0.8591E+00   0.2517E+01   0.2445E+01   0.7472E+00
    90   0.1780E+01   0.3242E-01   0.3354E-01   0.8329E+00   0.2550E+01   0.2452E+01   0.7517E+00
    91   0.1800E+01   0.3086E-01   0.3193E-01   0.8074E+00   0.2580E+01   0.2459E+01   0.7558E+00
    92   0.1820E+01   0.2938E-01   0.3038E-01   0.7826E+00   0.2608E+01   0.2465E+01   0.7594E+00
