#   pt       r            w            d(ln(w))/dr
   114   0.3390E+01   0.6606E-03  -0.2923E+01
   115   0.3420E+01   0.6050E-03  -0.2943E+01
   116   0.3450E+01   0.5537E-03  -0.2963E+01
   117   0.3480E+01   0.5064E-03  -0.2983E+01
   118   0.3510E+01   0.4629E-03  -0.3004E+01
   119   0.3540E+01   0.4229E-03  -0.3025E+01
   120   0.3570E+01   0.3861E-03  -0.3047E+01
   121   0.3600E+01   0.3522E-03  -0.3069E+01
   122   0.3630E+01   0.3212E-03  -0.3091E+01
   123   0.3660E+01   0.2926E-03  -0.3113E+01
   124   0.3690E+01   0.2664E-03  -0.3136E+01
   125   0.3720E+01   0.2424E-03  -0.3159E+01
   126   0.3750E+01   0.2204E-03  -0.3182E+01
   127   0.3780E+01   0.2003E-03  -0.3205E+01
   128   0.3810E+01   0.1819E-03  -0.3228E+01
   129   0.3840E+01   0.1650E-03  -0.3252E+01
   130   0.3870E+01   0.1496E-03  -0.3276E+01
   131   0.3900E+01   0.1356E-03  -0.3299E+01
   132   0.3930E+01   0.1228E-03  -0.3323E+01
   133   0.3960E+01   0.1111E-03  -0.3348E+01
   134   0.3990E+01   0.1004E-03  -0.3372E+01
   135   0.4020E+01   0.9073E-04  -0.3396E+01
   136   0.4050E+01   0.8191E-04  -0.3421E+01
   137   0.4080E+01   0.7389E-04  -0.3445E+01
   138   0.4110E+01   0.6661E-04  -0.3470E+01
   139   0.4140E+01   0.6001E-04  -0.3494E+01
   140   0.4170E+01   0.5401E-04  -0.3519E+01
   141   0.4200E+01   0.4858E-04  -0.3544E+01
   142   0.4230E+01   0.4367E-04  -0.3569E+01
   143   0.4260E+01   0.3922E-04  -0.3593E+01
   144   0.4290E+01   0.3520E-04  -0.3618E+01
   145   0.4320E+01   0.3157E-04  -0.3643E+01
   146   0.4350E+01   0.2829E-04  -0.3668E+01
   147   0.4380E+01   0.2533E-04  -0.3693E+01
   148   0.4410E+01   0.2266E-04  -0.3718E+01
   149   0.4440E+01   0.2026E-04  -0.3743E+01
   150   0.4470E+01   0.1810E-04  -0.3769E+01
   151   0.4500E+01   0.1616E-04  -0.3794E+01
   152   0.4530E+01   0.1442E-04  -0.3819E+01
   153   0.4560E+01   0.1285E-04  -0.3844E+01
   154   0.4590E+01   0.1145E-04  -0.3869E+01
   155   0.4620E+01   0.1019E-04  -0.3894E+01
   156   0.4650E+01   0.9064E-05  -0.3919E+01
   157   0.4680E+01   0.8055E-05  -0.3945E+01
   158   0.4710E+01   0.7153E-05  -0.3970E+01
