#   pt       r            w            d(ln(w))/dr
   114   0.3390E+01   0.9363E-04  -0.1990E+01
   115   0.3420E+01   0.8819E-04  -0.2005E+01
   116   0.3450E+01   0.8302E-04  -0.2021E+01
   117   0.3480E+01   0.7811E-04  -0.2037E+01
   118   0.3510E+01   0.7346E-04  -0.2054E+01
   119   0.3540E+01   0.6906E-04  -0.2070E+01
   120   0.3570E+01   0.6488E-04  -0.2087E+01
   121   0.3600E+01   0.6093E-04  -0.2104E+01
   122   0.3630E+01   0.5719E-04  -0.2121E+01
   123   0.3660E+01   0.5365E-04  -0.2138E+01
   124   0.3690E+01   0.5031E-04  -0.2155E+01
   125   0.3720E+01   0.4714E-04  -0.2172E+01
   126   0.3750E+01   0.4416E-04  -0.2189E+01
   127   0.3780E+01   0.4134E-04  -0.2206E+01
   128   0.3810E+01   0.3868E-04  -0.2224E+01
   129   0.3840E+01   0.3618E-04  -0.2241E+01
   130   0.3870E+01   0.3382E-04  -0.2258E+01
   131   0.3900E+01   0.3159E-04  -0.2276E+01
   132   0.3930E+01   0.2950E-04  -0.2293E+01
   133   0.3960E+01   0.2753E-04  -0.2310E+01
   134   0.3990E+01   0.2568E-04  -0.2328E+01
   135   0.4020E+01   0.2394E-04  -0.2345E+01
   136   0.4050E+01   0.2231E-04  -0.2363E+01
   137   0.4080E+01   0.2078E-04  -0.2380E+01
   138   0.4110E+01   0.1934E-04  -0.2398E+01
   139   0.4140E+01   0.1800E-04  -0.2415E+01
   140   0.4170E+01   0.1673E-04  -0.2433E+01
   141   0.4200E+01   0.1555E-04  -0.2450E+01
   142   0.4230E+01   0.1445E-04  -0.2468E+01
   143   0.4260E+01   0.1341E-04  -0.2485E+01
   144   0.4290E+01   0.1244E-04  -0.2502E+01
   145   0.4320E+01   0.1154E-04  -0.2520E+01
   146   0.4350E+01   0.1070E-04  -0.2537E+01
   147   0.4380E+01   0.9912E-05  -0.2555E+01
   148   0.4410E+01   0.9178E-05  -0.2572E+01
   149   0.4440E+01   0.8494E-05  -0.2590E+01
   150   0.4470E+01   0.7857E-05  -0.2607E+01
   151   0.4500E+01   0.7264E-05  -0.2625E+01
   152   0.4530E+01   0.6712E-05  -0.2642E+01
   153   0.4560E+01   0.6199E-05  -0.2660E+01
   154   0.4590E+01   0.5722E-05  -0.2677E+01
   155   0.4620E+01   0.5279E-05  -0.2695E+01
   156   0.4650E+01   0.4868E-05  -0.2712E+01
   157   0.4680E+01   0.4486E-05  -0.2730E+01
   158   0.4710E+01   0.4132E-05  -0.2747E+01
   159   0.4740E+01   0.3804E-05  -0.2765E+01
   160   0.4770E+01   0.3501E-05  -0.2782E+01
   161   0.4800E+01   0.3219E-05  -0.2800E+01
