#   pt       r            w            wL          Qw            A            b           IP
    54   0.1060E+01   0.3010E-01   0.3420E-01   0.2946E+00   0.4094E+00   0.2463E+01   0.7580E+00
    55   0.1080E+01   0.2864E-01   0.3225E-01   0.2862E+00   0.4171E+00   0.2480E+01   0.7688E+00
    56   0.1100E+01   0.2725E-01   0.3041E-01   0.2778E+00   0.4261E+00   0.2500E+01   0.7810E+00
    57   0.1120E+01   0.2592E-01   0.2868E-01   0.2696E+00   0.4365E+00   0.2521E+01   0.7946E+00
    58   0.1140E+01   0.2464E-01   0.2704E-01   0.2615E+00   0.4482E+00   0.2545E+01   0.8094E+00
    59   0.1160E+01   0.2341E-01   0.2550E-01   0.2535E+00   0.4612E+00   0.2570E+01   0.8253E+00
    60   0.1180E+01   0.2223E-01   0.2405E-01   0.2457E+00   0.4755E+00   0.2596E+01   0.8422E+00
    61   0.1200E+01   0.2110E-01   0.2267E-01   0.2380E+00   0.4912E+00   0.2623E+01   0.8599E+00
    62   0.1220E+01   0.2002E-01   0.2138E-01   0.2304E+00   0.5081E+00   0.2651E+01   0.8784E+00
    63   0.1240E+01   0.1898E-01   0.2016E-01   0.2230E+00   0.5263E+00   0.2680E+01   0.8975E+00
    64   0.1260E+01   0.1798E-01   0.1901E-01   0.2157E+00   0.5458E+00   0.2709E+01   0.9171E+00
    65   0.1280E+01   0.1703E-01   0.1793E-01   0.2086E+00   0.5665E+00   0.2738E+01   0.9371E+00
    66   0.1300E+01   0.1612E-01   0.1691E-01   0.2017E+00   0.5885E+00   0.2767E+01   0.9573E+00
    67   0.1320E+01   0.1524E-01   0.1594E-01   0.1949E+00   0.6116E+00   0.2797E+01   0.9778E+00
    68   0.1340E+01   0.1441E-01   0.1503E-01   0.1883E+00   0.6359E+00   0.2826E+01   0.9983E+00
    69   0.1360E+01   0.1362E-01   0.1418E-01   0.1819E+00   0.6612E+00   0.2855E+01   0.1019E+01
    70   0.1380E+01   0.1286E-01   0.1337E-01   0.1757E+00   0.6875E+00   0.2883E+01   0.1039E+01
    71   0.1400E+01   0.1213E-01   0.1261E-01   0.1696E+00   0.7147E+00   0.2911E+01   0.1060E+01
    72   0.1420E+01   0.1144E-01   0.1189E-01   0.1637E+00   0.7426E+00   0.2939E+01   0.1079E+01
    73   0.1440E+01   0.1079E-01   0.1121E-01   0.1580E+00   0.7713E+00   0.2965E+01   0.1099E+01
    74   0.1460E+01   0.1016E-01   0.1057E-01   0.1525E+00   0.8004E+00   0.2991E+01   0.1118E+01
    75   0.1480E+01   0.9571E-02   0.9969E-02   0.1471E+00   0.8299E+00   0.3015E+01   0.1136E+01
    76   0.1500E+01   0.9008E-02   0.9400E-02   0.1420E+00   0.8595E+00   0.3039E+01   0.1154E+01
    77   0.1520E+01   0.8475E-02   0.8864E-02   0.1369E+00   0.8890E+00   0.3061E+01   0.1171E+01
    78   0.1540E+01   0.7970E-02   0.8359E-02   0.1321E+00   0.9182E+00   0.3082E+01   0.1188E+01
    79   0.1560E+01   0.7492E-02   0.7883E-02   0.1274E+00   0.9468E+00   0.3102E+01   0.1203E+01
    80   0.1580E+01   0.7040E-02   0.7433E-02   0.1229E+00   0.9745E+00   0.3120E+01   0.1217E+01
    81   0.1600E+01   0.6613E-02   0.7009E-02   0.1186E+00   0.1001E+01   0.3137E+01   0.1230E+01
    82   0.1620E+01   0.6210E-02   0.6610E-02   0.1144E+00   0.1026E+01   0.3153E+01   0.1242E+01
    83   0.1640E+01   0.5830E-02   0.6233E-02   0.1104E+00   0.1049E+01   0.3166E+01   0.1253E+01
    84   0.1660E+01   0.5471E-02   0.5878E-02   0.1066E+00   0.1070E+01   0.3178E+01   0.1262E+01
    85   0.1680E+01   0.5134E-02   0.5543E-02   0.1028E+00   0.1088E+01   0.3188E+01   0.1270E+01
    86   0.1700E+01   0.4816E-02   0.5227E-02   0.9927E-01   0.1103E+01   0.3196E+01   0.1277E+01
    87   0.1720E+01   0.4518E-02   0.4929E-02   0.9584E-01   0.1114E+01   0.3202E+01   0.1282E+01
    88   0.1740E+01   0.4237E-02   0.4648E-02   0.9255E-01   0.1122E+01   0.3206E+01   0.1285E+01
    89   0.1760E+01   0.3974E-02   0.4383E-02   0.8939E-01   0.1126E+01   0.3208E+01   0.1287E+01
    90   0.1780E+01   0.3727E-02   0.4133E-02   0.8636E-01   0.1125E+01   0.3208E+01   0.1286E+01
    91   0.1800E+01   0.3496E-02   0.3897E-02   0.8345E-01   0.1120E+01   0.3206E+01   0.1284E+01
    92   0.1820E+01   0.3279E-02   0.3675E-02   0.8066E-01   0.1111E+01   0.3201E+01   0.1281E+01
    93   0.1840E+01   0.3076E-02   0.3466E-02   0.7799E-01   0.1097E+01   0.3194E+01   0.1275E+01
    94   0.1860E+01   0.2885E-02   0.3268E-02   0.7543E-01   0.1078E+01   0.3184E+01   0.1268E+01
    95   0.1880E+01   0.2708E-02   0.3082E-02   0.7297E-01   0.1054E+01   0.3173E+01   0.1258E+01
    96   0.1900E+01   0.2542E-02   0.2906E-02   0.7062E-01   0.1026E+01   0.3158E+01   0.1247E+01
    97   0.1920E+01   0.2386E-02   0.2740E-02   0.6836E-01   0.9945E+00   0.3142E+01   0.1234E+01
    98   0.1940E+01   0.2242E-02   0.2584E-02   0.6619E-01   0.9589E+00   0.3123E+01   0.1219E+01
    99   0.1960E+01   0.2106E-02   0.2437E-02   0.6412E-01   0.9201E+00   0.3102E+01   0.1203E+01
   100   0.1980E+01   0.1980E-02   0.2298E-02   0.6213E-01   0.8785E+00   0.3078E+01   0.1185E+01
   101   0.2000E+01   0.1862E-02   0.2167E-02   0.6021E-01   0.8347E+00   0.3053E+01   0.1165E+01
   102   0.2020E+01   0.1752E-02   0.2043E-02   0.5838E-01   0.7893E+00   0.3025E+01   0.1144E+01
   103   0.2040E+01   0.1650E-02   0.1927E-02   0.5662E-01   0.7428E+00   0.2995E+01   0.1121E+01
   104   0.2060E+01   0.1555E-02   0.1817E-02   0.5493E-01   0.6959E+00   0.2963E+01   0.1098E+01
   105   0.2080E+01   0.1466E-02   0.1713E-02   0.5330E-01   0.6491E+00   0.2930E+01   0.1073E+01
   106   0.2100E+01   0.1383E-02   0.1616E-02   0.5174E-01   0.6030E+00   0.2894E+01   0.1047E+01
   107   0.2120E+01   0.1305E-02   0.1524E-02   0.5024E-01   0.5579E+00   0.2857E+01   0.1021E+01
   108   0.2140E+01   0.1233E-02   0.1437E-02   0.4879E-01   0.5144E+00   0.2819E+01   0.9935E+00
   109   0.2160E+01   0.1166E-02   0.1355E-02   0.4740E-01   0.4727E+00   0.2780E+01   0.9660E+00
   110   0.2180E+01   0.1104E-02   0.1278E-02   0.4605E-01   0.4331E+00   0.2740E+01   0.9382E+00
   111   0.2200E+01   0.1045E-02   0.1205E-02   0.4476E-01   0.3958E+00   0.2699E+01   0.9102E+00
   112   0.2220E+01   0.9907E-03   0.1136E-02   0.4351E-01   0.3610E+00   0.2657E+01   0.8823E+00
   113   0.2240E+01   0.9398E-03   0.1071E-02   0.4230E-01   0.3286E+00   0.2615E+01   0.8546E+00
   114   0.2260E+01   0.8923E-03   0.1010E-02   0.4114E-01   0.2988E+00   0.2572E+01   0.8272E+00
   115   0.2280E+01   0.8479E-03   0.9526E-03   0.4001E-01   0.2715E+00   0.2530E+01   0.8002E+00
   116   0.2300E+01   0.8064E-03   0.8983E-03   0.3892E-01   0.2466E+00   0.2488E+01   0.7739E+00
   117   0.2320E+01   0.7676E-03   0.8471E-03   0.3787E-01   0.2240E+00   0.2447E+01   0.7482E+00
   118   0.2340E+01   0.7312E-03   0.7988E-03   0.3684E-01   0.2035E+00   0.2405E+01   0.7233E+00
