#   pt       r            w            wL          Qw            A            b           IP
    54   0.1060E+01   0.3437E+00   0.3747E+00   0.3683E+01   0.4378E+01   0.2400E+01   0.7203E+00
    55   0.1080E+01   0.3276E+00   0.3548E+00   0.3586E+01   0.4445E+01   0.2415E+01   0.7289E+00
    56   0.1100E+01   0.3121E+00   0.3360E+00   0.3491E+01   0.4513E+01   0.2429E+01   0.7372E+00
    57   0.1120E+01   0.2973E+00   0.3182E+00   0.3396E+01   0.4581E+01   0.2442E+01   0.7454E+00
    58   0.1140E+01   0.2831E+00   0.3013E+00   0.3303E+01   0.4649E+01   0.2455E+01   0.7534E+00
    59   0.1160E+01   0.2695E+00   0.2854E+00   0.3212E+01   0.4718E+01   0.2468E+01   0.7613E+00
    60   0.1180E+01   0.2564E+00   0.2702E+00   0.3121E+01   0.4787E+01   0.2480E+01   0.7690E+00
    61   0.1200E+01   0.2440E+00   0.2559E+00   0.3032E+01   0.4858E+01   0.2493E+01   0.7767E+00
    62   0.1220E+01   0.2321E+00   0.2423E+00   0.2945E+01   0.4930E+01   0.2505E+01   0.7843E+00
    63   0.1240E+01   0.2207E+00   0.2295E+00   0.2858E+01   0.5003E+01   0.2517E+01   0.7918E+00
    64   0.1260E+01   0.2099E+00   0.2173E+00   0.2774E+01   0.5078E+01   0.2529E+01   0.7992E+00
    65   0.1280E+01   0.1995E+00   0.2058E+00   0.2691E+01   0.5153E+01   0.2540E+01   0.8066E+00
    66   0.1300E+01   0.1896E+00   0.1949E+00   0.2610E+01   0.5230E+01   0.2552E+01   0.8139E+00
    67   0.1320E+01   0.1801E+00   0.1845E+00   0.2530E+01   0.5308E+01   0.2563E+01   0.8211E+00
    68   0.1340E+01   0.1711E+00   0.1748E+00   0.2452E+01   0.5387E+01   0.2574E+01   0.8283E+00
    69   0.1360E+01   0.1625E+00   0.1655E+00   0.2376E+01   0.5467E+01   0.2585E+01   0.8353E+00
    70   0.1380E+01   0.1543E+00   0.1567E+00   0.2301E+01   0.5548E+01   0.2596E+01   0.8423E+00
    71   0.1400E+01   0.1465E+00   0.1484E+00   0.2228E+01   0.5630E+01   0.2606E+01   0.8491E+00
    72   0.1420E+01   0.1390E+00   0.1405E+00   0.2156E+01   0.5712E+01   0.2617E+01   0.8558E+00
    73   0.1440E+01   0.1319E+00   0.1331E+00   0.2087E+01   0.5794E+01   0.2627E+01   0.8624E+00
    74   0.1460E+01   0.1252E+00   0.1260E+00   0.2019E+01   0.5876E+01   0.2636E+01   0.8688E+00
    75   0.1480E+01   0.1187E+00   0.1194E+00   0.1953E+01   0.5958E+01   0.2646E+01   0.8750E+00
