TITLE  Energy scan of MOL-A by MOL-B
TITLE  CO_1 and CO_2
TITLE  Basis aug-cc-pVQZ and type MC
TITLE  Midbonds NONE and type weighted
TITLE  CalculationType: SAPT(DFT)
MOL-A  CO_1
MOL-B  CO_2
AUX-BASIS-TYPE-A  DC
AUX-BASIS-TYPE-B  DC
POINTS      50
ENERGY-UNITS  CM-1
LENGTH-UNITS  BOHR
ANGLE-UNITS  DEGREES
LABELS    INDEX         Rx            Ry            Rz            alpha         Nx            Ny            Nz             E(1)elst       E(2)ind        E(2)disp       E(1)exch       E(2)exind      E(2)exdisp     TotOverlap     Eelst-MP       Eind-MP        Edisp-MP       Delta     
       1 -0.6537913E+01  0.0000000E+00  0.3774666E+01  0.1800000E+03 -0.7071068E+00  0.0000000E+00 -0.7071068E+00 -0.6032942E+01  0.0000000E+00  0.0000000E+00  0.8046540E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       2  0.0000000E+00 -0.5751404E+01  0.1485006E+01  0.6000000E+02  0.0000000E+00 -0.1000000E+01  0.0000000E+00 -0.1990225E+03  0.0000000E+00  0.0000000E+00  0.8670594E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       3  0.0000000E+00  0.4320398E+01  0.4898870E+01  0.1200000E+03  0.0000000E+00 -0.1000000E+01  0.0000000E+00 -0.1317217E+03  0.0000000E+00  0.0000000E+00  0.4321116E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       4 -0.5249869E+01 -0.5249869E+01  0.3003332E+01  0.9718076E+02  0.8819171E+00 -0.3333333E+00 -0.3333333E+00 -0.3287386E+02  0.0000000E+00  0.0000000E+00  0.1936512E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       5  0.2398326E+01  0.2398326E+01  0.6130215E+01  0.1286822E+03  0.4803845E+00 -0.6201737E+00 -0.6201737E+00 -0.5710662E+02  0.0000000E+00  0.0000000E+00  0.1959595E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       6 -0.4793247E+01  0.4793247E+01  0.8540327E+00  0.1120243E+03 -0.6741999E+00  0.5222330E+00 -0.5222330E+00 -0.3929552E+02  0.0000000E+00  0.0000000E+00  0.1536453E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       7  0.3736623E+01 -0.3736623E+01  0.4230892E+01  0.1510450E+03 -0.2581989E+00  0.6831301E+00 -0.6831301E+00 -0.3976585E+03  0.0000000E+00  0.0000000E+00  0.1720503E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       8 -0.2426765E+01  0.5858730E+01  0.2086182E+01  0.1552949E+03  0.5287040E+00  0.7841947E+00  0.3248241E+00 -0.5067574E+02  0.0000000E+00  0.0000000E+00  0.1812594E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       9  0.1579558E+01 -0.3813390E+01  0.5752804E+01  0.1396430E+03  0.8872297E+00  0.4262114E+00  0.1765425E+00 -0.6529571E+02  0.0000000E+00  0.0000000E+00  0.1490915E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      10 -0.6141067E+01 -0.2543713E+01  0.4162540E+00  0.1532916E+03 -0.9832960E-01 -0.3808289E+00  0.9194023E+00 -0.2265555E+03  0.0000000E+00  0.0000000E+00  0.7846696E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      11  0.5415786E+01  0.2243292E+01  0.3988133E+01  0.9227825E+02 -0.3980622E+00 -0.3510579E+00  0.8475287E+00 -0.8196375E+01  0.0000000E+00  0.0000000E+00  0.1004403E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      12  0.5624999E+01 -0.2329951E+01  0.1162197E+01  0.1046634E+03  0.3197744E+00 -0.3625901E+00 -0.8753700E+00 -0.1140380E+03  0.0000000E+00  0.0000000E+00  0.6007570E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      13 -0.4894649E+01  0.2027430E+01  0.5015706E+01  0.5310055E+02  0.8289616E+00 -0.2140370E+00 -0.5167309E+00 -0.1018201E+03  0.0000000E+00  0.0000000E+00  0.2616504E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      14  0.2058068E+01  0.4968615E+01  0.2616573E+01  0.1609234E+03 -0.4056598E+00  0.8444482E+00 -0.3497819E+00 -0.2775064E+03  0.0000000E+00  0.0000000E+00  0.9247057E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
