TITLE Distributed overlap energies
TITLE  CO_1 and CO_2
TITLE  Basis aug-cc-pVQZ and type MC
TITLE  Midbonds NONE and type weighted
TITLE  CalculationType: SAPT(DFT)
MOL-A  CO_1
AUX-BASIS-TYPE-A  MC
SITES-A +++ 
      C1       O1      
MOL-B  CO_2
AUX-BASIS-TYPE-B  MC
SITES-B +++ 
      C2       O2      
POINTS      50
ENERGY-UNITS  CM-1
LENGTH-UNITS  BOHR
ANGLE-UNITS  DEGREES
SITE-A  C1      
LABELS    Rx            Ry            Rz            alpha         Nx            Ny            Nz               C2             O2      
  -0.6537900E+01  0.0000000E+00  0.3774700E+01  0.1800000E+03 -0.7071000E+00  0.0000000E+00 -0.7071000E+00  0.2672892E+00  0.2160617E+01
   0.0000000E+00 -0.5751400E+01  0.1485000E+01  0.6000000E+02  0.0000000E+00 -0.1000000E+01  0.0000000E+00  0.2809324E+02  0.1202495E+02
   0.0000000E+00  0.4320400E+01  0.4898900E+01  0.1200000E+03  0.0000000E+00 -0.1000000E+01  0.0000000E+00  0.2312046E+01  0.5528967E+01
  -0.5249900E+01 -0.5249900E+01  0.3003300E+01  0.9718000E+02  0.8819000E+00 -0.3333000E+00 -0.3333000E+00  0.5217419E+01  0.4635286E-01
   0.2398300E+01  0.2398300E+01  0.6130200E+01  0.1286800E+03  0.4804000E+00 -0.6202000E+00 -0.6202000E+00  0.1000269E+01  0.1264870E+01
  -0.4793200E+01  0.4793200E+01  0.8540000E+00  0.1120200E+03 -0.6742000E+00  0.5222000E+00 -0.5222000E+00  0.2269526E+01  0.6679923E+01
   0.3736600E+01 -0.3736600E+01  0.4230900E+01  0.1510400E+03 -0.2582000E+00  0.6831000E+00 -0.6831000E+00  0.2282789E+02  0.7175573E+00
  -0.2426800E+01  0.5858700E+01  0.2086200E+01  0.1552900E+03  0.5287000E+00  0.7842000E+00  0.3248000E+00  0.3020822E+01  0.4875888E+01
   0.1579600E+01 -0.3813400E+01  0.5752800E+01  0.1396400E+03  0.8872000E+00  0.4262000E+00  0.1765000E+00  0.8944255E+00  0.1188887E+01
  -0.6141100E+01 -0.2543700E+01  0.4163000E+00  0.1532900E+03 -0.9830000E-01 -0.3808000E+00  0.9194000E+00  0.4454097E+02  0.1799576E+01
   0.5415800E+01  0.2243300E+01  0.3988100E+01  0.9228000E+02 -0.3981000E+00 -0.3511000E+00  0.8475000E+00  0.1436758E+01  0.1078279E+01
   0.5625000E+01 -0.2330000E+01  0.1162200E+01  0.1046600E+03  0.3198000E+00 -0.3626000E+00 -0.8754000E+00  0.7333808E+01  0.2168407E+02
  -0.4894600E+01  0.2027400E+01  0.5015700E+01  0.5310000E+02  0.8290000E+00 -0.2140000E+00 -0.5167000E+00  0.4511492E+01  0.2550695E+00
   0.2058100E+01  0.4968600E+01  0.2616600E+01  0.1609200E+03 -0.4057000E+00  0.8444000E+00 -0.3498000E+00  0.7530214E+01  0.2912996E+02
  -0.1024300E+01 -0.2472900E+01  0.7211000E+01  0.1430000E+03 -0.8078000E+00  0.5446000E+00 -0.2256000E+00  0.1382235E+00  0.9761287E+00
   0.3714600E+01 -0.5559300E+01  0.3548100E+01  0.1003100E+03 -0.5576000E+00 -0.4612000E+00 -0.6902000E+00  0.3683822E+00  0.8676141E+00
  -0.1154800E+01  0.1728300E+01  0.8118200E+01  0.1505000E+03 -0.1759000E+00 -0.5469000E+00 -0.8185000E+00  0.4153579E+00  0.1392320E-01
   0.5634800E+01  0.3765000E+01  0.1519200E+01  0.1186300E+03  0.8881000E+00  0.3822000E+00 -0.2554000E+00  0.1441337E+01  0.5926063E+01
  -0.3351000E+01 -0.2239100E+01  0.4166300E+01  0.1419800E+03  0.5156000E+00  0.7124000E+00 -0.4760000E+00  0.1767984E+02  0.1245524E+02
  -0.6898200E+01  0.1372100E+01  0.6623000E+00  0.1609600E+03 -0.8431000E+00  0.5274000E+00  0.1049000E+00  0.2438840E+01  0.1973540E+01
   0.5563100E+01 -0.1106600E+01  0.4185500E+01  0.1695300E+03 -0.4606000E+00  0.8705000E+00  0.1732000E+00  0.7720685E+00  0.3630288E+01
  -0.1222300E+01 -0.6145100E+01  0.2293500E+01  0.3026000E+02  0.7357000E+00 -0.1321000E+00  0.6643000E+00  0.3523995E+02  0.1192539E+01
   0.7138000E+00  0.3588300E+01  0.5751300E+01  0.9563000E+02  0.1803000E+00 -0.1919000E+00  0.9647000E+00  0.1110649E+02  0.6020562E+00
  -0.6744400E+01 -0.1341500E+01  0.1087800E+01  0.1343800E+03 -0.8370000E-01 -0.8286000E+00 -0.5536000E+00  0.6137954E+01  0.1277049E+01
   0.5444100E+01  0.1082900E+01  0.4827700E+01  0.7478000E+02 -0.2603000E+00 -0.8028000E+00 -0.5364000E+00  0.7712290E+00  0.5420378E+00
  -0.1033600E+01  0.5196200E+01  0.2355400E+01  0.1657100E+03  0.6300000E+00  0.4314000E+00 -0.6457000E+00  0.1060144E+02  0.4587286E+02
   0.6470000E+00 -0.3252900E+01  0.7110000E+01  0.1585900E+03  0.9502000E+00  0.1731000E+00 -0.2591000E+00  0.1283052E+00  0.3913355E+00
   0.3476800E+01  0.5203400E+01  0.1834100E+01  0.1687300E+03 -0.1477000E+00  0.1930000E+00  0.9700000E+00  0.2410547E+02  0.2265074E+01
  -0.2276100E+01 -0.3406500E+01  0.5127600E+01  0.1322300E+03 -0.6628000E+00  0.1461000E+00  0.7344000E+00  0.4365192E+01  0.2190612E+01
