    1    -6.5379     0.0000     3.7747     180.00  -0.7071   0.0000  -0.7071
    2     0.0000    -5.7514     1.4850      60.00   0.0000  -1.0000   0.0000
    3     0.0000     4.3204     4.8989     120.00   0.0000  -1.0000   0.0000
    4    -5.2499    -5.2499     3.0033      97.18   0.8819  -0.3333  -0.3333
    5     2.3983     2.3983     6.1302     128.68   0.4804  -0.6202  -0.6202
    6    -4.7932     4.7932     0.8540     112.02  -0.6742   0.5222  -0.5222
    7     3.7366    -3.7366     4.2309     151.04  -0.2582   0.6831  -0.6831
    8    -2.4268     5.8587     2.0862     155.29   0.5287   0.7842   0.3248
    9     1.5796    -3.8134     5.7528     139.64   0.8872   0.4262   0.1765
   10    -6.1411    -2.5437     0.4163     153.29  -0.0983  -0.3808   0.9194
   11     5.4158     2.2433     3.9881      92.28  -0.3981  -0.3511   0.8475
   12     5.6250    -2.3300     1.1622     104.66   0.3198  -0.3626  -0.8754
   13    -4.8946     2.0274     5.0157      53.10   0.8290  -0.2140  -0.5167
   14     2.0581     4.9686     2.6166     160.92  -0.4057   0.8444  -0.3498
   15    -1.0243    -2.4729     7.2110     143.00  -0.8078   0.5446  -0.2256
   16     3.7146    -5.5593     3.5481     100.31  -0.5576  -0.4612  -0.6902
   17    -1.1548     1.7283     8.1182     150.50  -0.1759  -0.5469  -0.8185
   18     5.6348     3.7650     1.5192     118.63   0.8881   0.3822  -0.2554
   19    -3.3510    -2.2391     4.1663     141.98   0.5156   0.7124  -0.4760
   20    -6.8982     1.3721     0.6623     160.96  -0.8431   0.5274   0.1049
   21     5.5631    -1.1066     4.1855     169.53  -0.4606   0.8705   0.1732
   22    -1.2223    -6.1451     2.2935      30.26   0.7357  -0.1321   0.6643
   23     0.7138     3.5883     5.7513      95.63   0.1803  -0.1919   0.9647
   24    -6.7444    -1.3415     1.0878     134.38  -0.0837  -0.8286  -0.5536
   25     5.4441     1.0829     4.8277      74.78  -0.2603  -0.8028  -0.5364
   26    -1.0336     5.1962     2.3554     165.71   0.6300   0.4314  -0.6457
   27     0.6470    -3.2529     7.1100     158.59   0.9502   0.1731  -0.2591
   28     3.4768     5.2034     1.8341     168.73  -0.1477   0.1930   0.9700
   29    -2.2761    -3.4065     5.1276     132.23  -0.6628   0.1461   0.7344
   30     5.9130    -3.9510     0.2223     127.67   0.3283  -0.9264   0.1843
   31    -4.9660     3.3182     3.7451      85.40   0.7241  -0.6764   0.1345
   32    -5.9380    -4.8732     2.1165     144.34  -0.6017  -0.3765   0.7044
   33     3.1320     2.5704     4.8222     126.18  -0.9496  -0.1478   0.2764
   34    -3.8314     4.6686     0.0944     137.11   0.2100   0.8623   0.4609
   35     4.1018    -4.9981     3.8910      87.41   0.5592   0.7311   0.3908
   36     0.6069     6.1620     0.8795     117.15  -0.1854   0.9404  -0.2853
   37    -0.5247    -5.3272     4.4660      62.65  -0.4984   0.8296  -0.2517
   38     6.0712    -0.5980     2.5887     172.79   0.2076  -0.2840  -0.9361
   39    -2.9269     0.2883     5.7602     155.21   0.7246  -0.2001  -0.6595
   40     1.8367    -6.0549     0.4958     169.57  -0.9264  -0.2911   0.2389
   41    -1.5088     4.9740     3.6828     173.26  -0.5976  -0.6198   0.5086
   42     6.1091     1.8532     2.2175      78.05   0.1215   0.6297   0.7673
   43    -3.3728    -1.0231     5.2071     141.57   0.0343   0.6340   0.7726
   44    -6.0741     3.2467     3.5009      79.84  -0.9808   0.0191  -0.1939
   45     2.2326    -1.1933     7.9742     114.91  -0.5238   0.0835  -0.8478
   46    -3.1457    -5.8852     1.3844     114.14   0.7893  -0.6111  -0.0602
   47     2.5022     4.6812     5.2487     144.23   0.3932  -0.9150  -0.0901
   48    -0.6413     6.5116     1.5775     166.26   0.0365   0.2901  -0.9563
   49     0.5604    -5.6895     6.1856      93.19   0.2869   0.2781  -0.9167
   50    -6.0188    -0.5928     3.3485     162.79  -0.4988  -0.8294  -0.2516
